0.029930 0.029930 0.000000 
0.032238 0.033781 0.029930 
0.034098 0.033781 0.033781 
0.034098 0.034098 0.034098 
0.034611 0.067159 0.034098 
0.067874 0.100481 0.067159 
0.101361 0.131658 0.100481 
0.132883 0.165612 0.131658 
0.167151 0.194901 0.165612 0.165612 
0.197193 0.233942 0.194901 0.194901 
0.236539 0.272954 0.233942 0.233942 
0.275953 0.311966 0.272954 0.272954 
0.315506 0.351008 0.311966 0.311966 
0.355272 0.385187 0.351008 0.351008 
0.389803 0.424228 0.385187 0.385187 
0.430411 0.458408 0.424233 0.424288 
0.469095 0.492587 0.458524 0.460697 
0.510550 0.531595 0.493099 0.509281 
0.532258 0.570014 0.532144 0.552623 0.551465 0.551465 
0.570685 0.603199 0.570052 0.570057 0.570102 0.570102 
0.603975 0.635379 0.603201 0.603201 0.603203 0.603203 
0.636062 0.666005 0.635379 0.635379 0.635379 0.635379 
0.666658 0.694544 0.666005 0.666005 
0.695447 0.726758 0.694544 0.694544 
0.727544 0.758526 0.726758 0.726758 
0.759467 0.793800 0.758526 0.758526 
0.794809 0.826230 0.793800 0.793800 
0.827451 0.863049 0.826230 0.826230 
0.864370 0.900214 0.863049 0.863049 
0.901655 0.934007 0.900214 0.900214 
0.935792 0.965608 0.934007 0.934007 
0.968047 1.003904 0.965608 0.965608 
1.006724 1.042532 1.003904 1.003904 
1.045522 1.074895 1.042532 1.042532 
1.078187 1.107020 1.074895 1.074895 
1.110618 1.143128 1.107020 1.107020 
1.147498 1.168623 1.143128 1.143128 
1.172328 1.205294 1.168623 1.168623 
1.210209 1.239148 1.205294 1.205294 
1.244363 1.268038 1.239157 1.239150 
1.273206 1.294081 1.268099 1.268048 
1.297912 1.304720 1.294152 1.294091 
1.305893 1.304720 1.304742 1.304723 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.305893 1.305893 1.305893 1.305893 
1.308715 1.306049 1.306043 1.305903 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.308715 1.308715 1.308715 1.308715 
1.311396 1.308867 1.308923 1.308733 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.311396 1.311396 1.311396 1.311396 
1.313033 1.311497 1.311484 1.311405 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.313033 1.313033 1.313033 1.313033 
1.314837 1.313135 1.313173 1.313045 
1.314837 1.314837 1.314837 1.314837 
1.314837 1.314837 1.314837 1.314837 
1.324969 1.337965 1.323295 1.316110 
1.350255 1.339032 1.350594 1.363554 
1.375404 1.364540 1.379492 1.379492 
1.390391 1.380513 1.379492 1.379525 
1.401655 1.391199 1.390393 1.390391 
1.410637 1.402496 1.401655 1.401655 
1.420818 1.412200 1.410637 1.410637 
1.431885 1.423446 1.420851 1.420824 
1.441498 1.436494 1.435284 1.432283 
1.448392 1.442245 1.443220 1.443220 
1.456779 1.449657 1.448392 1.448393 
1.464063 1.458180 1.456779 1.456779 
1.469525 1.465831 1.464070 1.464093 
1.473584 1.472982 1.469975 1.473152 
1.474234 1.477747 1.473611 1.473611 
1.478618 1.482413 1.477747 1.477747 
1.483837 1.487038 1.482436 1.482435 1.482418 
1.489546 1.489570 1.487361 
1.502792 1.490697 1.489796 
1.525362 1.502793 1.502793 
1.553246 1.525362 1.525362 
1.585099 1.553246 1.553246 
1.616246 1.585099 1.585099 
1.651664 1.616246 1.616246 
1.687170 1.651664 1.651664 
1.719290 1.687170 1.687170 
1.751199 1.719290 1.719290 
1.780395 1.751199 1.751199 
1.808818 1.780395 1.780395 
1.835958 1.808818 1.808818 
1.864789 1.835958 1.835958 1.835958 1.835958 
1.899066 1.864789 1.864789 
1.929391 1.899186 1.899099 
1.960652 1.929487 1.929413 
1.988913 1.960670 1.960670 1.960653 
2.020116 1.988918 1.988918 1.988913 
2.048902 2.020118 2.020118 
2.073430 2.048902 2.048902 
2.103970 2.073430 2.073430 
2.132661 2.103970 2.103970 
2.166063 2.132661 2.132661 
2.166247 2.166244 2.197850 
2.231420 2.197855 2.197855 
2.262795 2.231420 2.231420 
2.297416 2.262795 2.262795 
2.330323 2.297416 2.297416 
2.365468 2.330323 2.330323 2.330323 
2.399127 2.365468 2.365468 2.365468 
2.433916 2.399127 2.399127 
2.468493 2.433916 2.433916 
2.506186 2.468493 2.468493 
2.545221 2.506188 2.506187 2.506186 
2.582555 2.545235 2.545223 2.545221 
2.619425 2.582619 2.582558 2.582555 
2.649170 2.619594 2.619431 2.619425 
2.681817 2.649190 2.649173 
2.719282 2.681847 2.681824 
2.758239 2.719368 2.719307 2.719282 
2.797744 2.758360 2.758281 2.758239 
2.836260 2.797893 2.797820 2.797744 
2.867856 2.836402 2.860049 2.836260 
2.905608 2.868004 2.867857 
2.944376 2.905747 2.905610 
2.980486 2.944538 2.944384 
3.017810 2.980688 2.980506 
3.055551 3.018005 3.017833 
3.094995 3.055759 3.055598 
3.132731 3.095183 3.095083 
3.172145 3.132893 3.132884 
3.210318 3.172261 3.172145 3.172145 
3.250088 3.210442 3.210318 3.210318 
3.288139 3.250225 3.250088 3.250088 
3.327809 3.288297 3.288139 3.288139 
3.365683 3.327983 3.327809 3.327809 
3.402053 3.365818 3.365683 3.365683 
3.441725 3.402191 3.402053 3.402053 
3.479841 3.441877 3.441725 3.441725 
3.518005 3.480017 3.479841 3.479841 
3.554551 3.518192 3.518005 3.518005 
3.592148 3.554704 3.554551 3.554551 
3.629862 3.592311 3.592148 3.592148 
3.667871 3.630034 3.629862 3.629862 
3.705996 3.668068 3.667871 3.667871 
3.744165 3.706203 3.705996 3.705996 
3.784004 3.744403 3.744165 3.744165 
3.821601 3.784187 3.784004 3.784004 
3.861062 3.821799 3.821601 3.821601 
3.900861 3.861283 3.861062 3.861062 
3.940748 3.901108 3.900861 3.900861 
3.980142 3.940947 3.940748 3.940748 
4.019902 3.980401 3.980142 3.980142 
4.059501 4.020132 4.019902 4.019902 
4.097068 4.059705 4.059501 4.059501 
4.132787 4.097251 4.097068 4.097068 
4.170009 4.132931 4.132787 4.132787 
4.207012 4.170132 4.170009 4.170009 
4.245014 4.207164 4.207012 4.207012 
4.282815 4.245181 4.245014 4.245014 
4.319735 4.282928 4.282815 4.282815 
4.355023 4.319828 4.319735 4.319735 
4.389456 4.355100 4.355036 4.355036 
4.424869 4.390416 4.390452 
4.458958 4.424869 4.424869 
4.493107 4.458958 4.458958 
4.527126 4.522425 4.493107 
4.551130 4.533113 4.527136 
4.582208 4.551140 4.551130 
4.614307 4.582216 4.582208 
4.641539 4.614311 4.614307 
4.669319 4.641543 4.641544 
4.695946 4.669331 4.669322 
4.716252 4.695976 4.695948 
4.736196 4.716290 4.716253 
4.755460 4.736239 4.736198 
4.769348 4.755530 4.755461 4.755460 
4.772829 4.780488 4.769348 4.769348 
4.790221 4.794423 4.780488 4.780488 
4.815779 4.808723 4.794423 4.794423 
4.853299 4.821258 4.815780 4.815779 
4.876821 4.853334 4.853299 
4.892674 4.889148 4.876863 4.876821 
4.905107 4.892674 4.892674 
4.916360 4.905107 4.905107 
4.930264 4.921754 4.916360 4.916360 
4.949545 4.931823 4.930264 
4.968800 4.949546 4.949545 
4.988679 4.968800 4.968800 
5.000682 4.988679 4.988679 
5.011199 5.000682 5.000682 
5.023001 5.011199 5.011199 
5.033864 5.023001 5.023001 
5.041506 5.033864 5.033864 
5.046699 5.041506 5.041506 
5.054457 5.046699 5.046699 5.046699 
5.060812 5.054457 5.054457 5.054457 
5.066463 5.060812 5.060812 5.060812 
5.073859 5.066463 5.066463 5.066463 
5.081604 5.073859 5.073859 
5.090247 5.081604 5.081604 
5.098902 5.090247 5.090247 
5.108268 5.098902 5.098902 5.098902 
5.118434 5.108268 5.108268 5.108268 
5.131180 5.118434 5.118434 5.118434 
5.145848 5.131181 5.131180 5.131180 
5.162571 5.145848 5.145848 
5.177343 5.162571 5.162571 
5.193478 5.187519 5.177343 5.177343 5.177343 
5.228803 5.194904 5.193478 5.193478 
5.263395 5.228828 5.228803 
5.297071 5.263414 5.263395 
5.329373 5.297078 5.297071 
5.361299 5.329382 5.329373 
5.395721 5.361308 5.361299 
5.428990 5.395730 5.395721 
5.461325 5.428998 5.428990 5.428990 5.428990 
5.497364 5.461335 5.461325 5.461325 5.461325 
5.531805 5.497373 5.497364 5.497364 
5.567916 5.531817 5.531805 5.531805 
5.603352 5.567927 5.567916 5.567916 
5.639999 5.603359 5.603352 5.603352 
5.640004 5.639999 5.639999 
5.640238 5.640209 5.640356 5.640004 5.640004 
5.675151 5.664397 5.640562 5.640356 5.640356 
5.710966 5.685195 5.675151 5.675151 5.675151 
5.749268 5.711039 5.710966 5.710966 5.710966 
5.787926 5.749321 5.749268 5.749268 
5.823783 5.787954 5.787926 
5.856552 5.823794 5.823783 
5.892918 5.856555 5.856552 
5.932645 5.892920 5.892918 
5.972501 5.932645 5.932645 
6.009069 5.972501 5.972501 
6.048571 6.009069 6.009069 
6.087767 6.048571 6.048571 
6.126694 6.087767 6.087767 
6.163016 6.126713 6.126694 
6.202904 6.179172 6.163016 
6.237740 6.210212 6.202904 6.202904 
6.276461 6.237740 6.237740 6.237740 
6.310915 6.276612 6.276495 
6.345633 6.322261 6.312597 
6.376910 6.374117 6.348144 
6.399865 6.377021 6.377021 
6.426799 6.399880 6.399880 
6.438376 6.426808 6.426808 
6.438384 6.438384 6.439012 
6.440521 6.439022 6.439017 
