0.029930 0.029930 0.000000 
0.035509 0.035509 0.000000 
0.035509 0.035509 0.000000 
0.039041 0.039041 0.000000 
0.039806 0.039806 0.000000 
0.039806 0.039806 0.000000 
0.039041 0.039041 0.000000 
0.039041 0.039041 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000000 0.000000 
0.039041 0.039041 0.000001 0.000001 
0.039041 0.039041 0.000274 0.000274 
0.039041 0.039041 0.006410 0.006410 
0.039041 0.039041 0.031876 0.031876 
0.038773 0.038773 0.033844 0.033844 0.033812 0.033812 
0.037842 0.037842 0.005073 0.005073 0.005073 0.005073 
0.036819 0.036819 0.000158 0.000158 0.000158 0.000158 
0.035802 0.035802 0.000002 0.000002 0.000002 0.000002 
0.038388 0.038388 0.000000 0.000000 
0.037484 0.037484 0.000000 0.000000 
0.036225 0.036225 0.000000 0.000000 
0.036081 0.036081 0.000000 0.000000 
0.036461 0.036461 0.000000 0.000000 
0.036824 0.036824 0.000000 0.000000 
0.037168 0.037168 0.000000 0.000000 
0.037529 0.037529 0.000000 0.000000 
0.037932 0.037932 0.000000 0.000000 
0.038300 0.038300 0.000000 0.000000 
0.038632 0.038632 0.000000 0.000000 
0.035228 0.035228 0.000000 0.000000 
0.035687 0.035687 0.000000 0.000000 
0.036126 0.036126 0.000000 0.000000 
0.036421 0.036421 0.000000 0.000000 
0.036706 0.036706 0.000000 0.000000 
0.039619 0.039619 0.000004 0.000004 
0.038637 0.038637 0.000044 0.000044 
0.039079 0.039079 0.000315 0.000315 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.038452 0.038452 0.000460 0.000460 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
0.039889 0.039889 0.000827 0.000827 
